"island","site","web","webv2","native","netting","startdate","enddate","spidpres","webpres","websize","duration","spidpresbin","webpresbin"
"guam","nblas","A'C","AC","yes","no",2013-06-24,2013-06-28,"yes","yes",62,4,1,NA
"guam","nblas","A'D","AD","yes","no",2013-06-24,2013-06-30,"yes","yes",58,6,1,NA
"guam","nblas","A'E","AE","yes","no",2013-06-24,2013-07-01,"no","no",56,7,0,0
"guam","nblas","A'F","AF","yes","no",2013-06-24,2013-06-28,"no","no",67,4,0,0
"guam","nblas","A'G","AG","yes","no",2013-06-24,2013-06-29,"yes","yes",51,5,1,NA
"guam","nblas","A'H","AH","yes","no",2013-06-24,2013-06-26,"no","no",43,2,0,0
"guam","nblas","A'I","AI","yes","no",2013-06-24,2013-06-28,"no","no",66,4,0,0
"guam","nblas","A'J","AJ","yes","no",2013-06-24,2013-06-30,"no","no",58,6,0,0
"guam","nblas","A'K","AK","yes","no",2013-06-24,2013-06-29,"no","no",39,5,0,0
"guam","nblas","A'L","AL","yes","no",2013-06-24,2013-06-30,"no","no",56,6,0,0
"guam","nblas","A'M","AM","yes","no",2013-06-24,2013-06-28,"no","yes",54,4,0,1
"guam","nblas","A'N","AN","yes","no",2013-06-24,2013-06-27,"no","yes",53,3,0,1
"guam","nblas","A'O","AO","yes","no",2013-06-24,2013-06-30,"no","no",70,6,0,0
"guam","nblas","A'P","AP","yes","no",2013-06-24,2013-06-25,"no","no",58,1,0,0
